Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Hypertension (Awareness),Are you doing any of the following to help control your high blood pressure: cutting down or stopping smoking?,CUTSMOKE,1=Yes  2=No  4=Do not smoke  7=DK/NS  9=refused,1985,Core Question,12
Hypertension (Awareness),Are you doing any of the following to help control your high blood presure: Following an exercise program?,EXERPROG,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,13
Hypertension (Awareness),"[Prologue] As far as you know, is your blood pressure presently normal-or under control- or is it still high? (Note: Normal or under control includes ""returned to normal"" and ""no longer have high blood pressure"".)",BPUPNOW,1=Normal  2=Under control  3=Still high  7=DK/NS  9=Refused,1985,Core Question,14
Exercise/Physical Activity,"The next few questions are about exercise, recreation, or physical activities other than your regular job duties. During the past month, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?",EXERANY,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,15
Exercise/Physical Activity,"Were there other activities or exercises that you participated in during the last month besides running, calisthenics, golf, yardwork or walking for exercise?",EXEROTH,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,16
Exercise/Physical Activity,[Prologue] What type of physical activity or exercise did you spend the most time doing during the past month?,EXERACT1,"ACTIVITY CODES AND INTENSITY FACTORS FOR COMMON LEISURE ACTIVITIES  CODING LIST A  1.Aerobics Class  2.Back Packing  3.Badminton  4.Basketball  5.Bicycling for pleasure  6.Boating or canoeing, rowing, sailing for pleasure or camping)  7.Bowling  8.Boxing",1985,Core Question,17
Exercise/Physical Activity,How far did you usually walk/run/jog/swim (first activity)?,EXERDIS1,__ __.__=Miles & tenths  777=DK/NS  999=Refused,1985,Core Question,18
Exercise/Physical Activity,[How far did you usually walk/run/jog/swim? (first activity)]  How many times per week or per month did you take part in this activity during the past month?,EXEROFT1,1_ _=Number of times/week  2_ _=Number of times/month  777=DK/NS  999=Refused,1985,Core Question,19
Exercise/Physical Activity,"[How far did you usually walk/run/jog/swim? (first activity)]  And when you took part in this activity, for how many minutes or hours did you usually keep at it?",EXERHMM1,__:__ __=Hours & minutes  777=DK/NS  999=Refused,1985,Core Question,20
Exercise/Physical Activity,"(Were there other activities or exercises that you participated in during the last month besides running, calisthenics, golf, yardwork or walking for exercise?)  Was there another physical activity or exercise that your participated in during the last month (second activity)?",EXEROTH2,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,21
Exercise/Physical Activity,[Prologue] What type of physical activity or exercise did you spend the most time doing during the past month? What other type of physical activity gave you the next most exercise during the past month?,EXERACT2,"ACTIVITY CODES AND INTENSITY FACTORS FOR COMMON LEISURE ACTIVITIES  CODING LIST A  1.Aerobics Class  2.Back Packing  3.Badminton  4.Basketball  5.Bicycling for pleasure  6.Boating or canoeing, rowing, sailing for pleasure or camping)  7.Bowling  8.Boxing",1985,Core Question,22
Exercise/Physical Activity,How far did you usually walk/run/jog/swim (second activity)?,EXERDIS2,__ __.__=Miles & tenths  777=DK/NS  999=Refused,1985,Core Question,23
Exercise/Physical Activity,[How far did you usually walk/run/jog/swim? (second activity)]How many times per week or per month did you take part in this activity?,EXEROFT2,1_ _=Number of times/week  2_ _=Number of times/month  777=DK  999=Refused,1985,Core Question,24
Exercise/Physical Activity,"[How far did you usually walk/run/jog/swim?  (second activity)]  And when you took part in this activity, for how many minutes or hours did you usually keep at it?",EXERHMM2,__:__ __=Hours & minutes  777=DK/NS  999=Refused,1985,Core Question,25
Demographics,About how much do you weigh without shoes?,WEIGHT,_ _ _=Weight (pounds)  7 7 7=DK/NS  9 9 9=Refused,1985,Core Question,26
Demographics,About how tall are you without shoes?,HEIGHT,__/__ __=Height (ft/inches)  777=DK/NS  999=Refused,1985,Core Question,27
Weight Control,Are you now trying to lose weight?,LOSEWT,1=Yes  2=No  9=Refused,1985,Core Question,28
Weight Control,Are you eating fewer calories to lose weight?,FEWCAL,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,29
Weight Control,Have you increased your physical activity to lose weight?,PHYACT,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,30
Tobacco Use/Smoking Cessation/Secondhand Smoke,"Now, I would like to ask you a few questions about smoking cigarettes.  Have you smoked at least 100 cigarettes in your life?",SMOKE100,1=Yes  2=No  8=DK/NS  9=Refused,1985,Core Question,32
Tobacco Use/Smoking Cessation/Secondhand Smoke,Do you smoke cigarettes now?,SMOKENOW,1=Yes  2=No  9=Refused,1985,Core Question,33
Tobacco Use/Smoking Cessation/Secondhand Smoke,"On the average, about how many cigarettes a day do you now smoke?",SMOKENUM,__ __=Number of cigarettes  88=Don't smoke regularly  99=Refused,1985,Core Question,34
Tobacco Use/Smoking Cessation/Secondhand Smoke,Have you stopped smoking for a week or more sometime during the past year?,SMOKQUIT,1=Yes  2=No  9=Refused,1985,Core Question,35
Alcohol Consumption,"These next few questions are about the use of beer, wine, or liquor--all kinds of alcoholic beverages that people drink at meals, special occasions, or when just relaxing.  Have you had any beer, wine or liquor during the past month, that is, since _________ ?",DRINKANY,1=Yes  2=No  9=Refused,1985,Core Question,36
Alcohol Consumption,"During the past month, how many days per week or per month did you drink any beer?",DRKBEER,1=_ _=Days per week  2=_ _=Days per month  888=Never or none   777=DK/NS  999=Refused,1985,Core Question,37
Alcohol Consumption,"On the days you drank beer, about how many beers did you drink on the average?",NBEEROCC,__ __=Number of beers  77=DK/NS  99=Refused,1985,Core Question,38
Alcohol Consumption,"Also, during the past month, how many days per week or per month did you drink any wine?",DRKWINE,1 __ __=Days per week  2 __ __=Days per month  888=Never or none  777=DK/NS  999=Refused,1985,Core Question,39
Alcohol Consumption,"On the days when you drank wine, about how many glasses of wine did you drink on the average?",NWINEOCC,__ __=Number of glasses of wine  77=DK/NS  99=Refused,1985,Core Question,40
Alcohol Consumption,"And, during the past month, about how many days per week or per month did you have any liquor to drink, such as vodka, gin, rum or whiskey?",DRKLIQR,1_ _=Days per week  2_ _=Days per month  888=Never or none  777=DK/NS  999=Refused,1985,Core Question,41
Alcohol Consumption,"On the days when you drank any liquor, about how many drinks did you have on the average?",NLIQROCC,__ __=Number of drinks  77=DK/NS  99=Refused,1985,Core Question,42
Alcohol Consumption,"Considering all types of alcoholic beverages, that is beer, wine, and liquor, as drinks, how many times during the past month did you have 5 or more drinks on an occasion?",DRINKGE5,__ __=Number of times  88=None  77=DK/NS  99=Refused,1985,Core Question,43
Alcohol Consumption,"And during the past month, how many times have you driven when you've had perhaps too much to drink?",DRINKDRI,__ __=Number of times  88=None  77=DK/NS  99=Refused,1985,Core Question,44
Demographics,"And finally, these last few questions ask for a little more information about yourself.  How old were you on your last birthday?",AGE,__ __=Code age in years  7=DK/NS   9-Refused,1985,Core Question,45
Demographics,What is your race?  Would you say:,ORACE,"1=White  2=Black  3=Asian, Pacific Islander  4=Aleutian, Eskimo or American Indian  5=Other: (specify) ______________  7=Don't know/Not sure  9=Refused",1985,Core Question,46
Demographics,"Are you of Hispanic origin such as Mexican American, Latin American, Puerto Rican or Cuban?",HISPANIC,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,47
Demographics,What is the highest grade or year of school you completed?,EDUCA,1=Eighth grade or less  2=Some high school  3=High school graduate or GED Certificate  4=Some technical school  5=Technical school graduate  6=Some college  7=College graduate  8=Postgraduate or professional degree  9=Refused,1985,Core Question,48
Demographics,Are you currently:,EMPLOY,1=Employed for wages  2=Self-employed  3=Out of work for more than 1 year  4=Out of work for less than 1 year  5=Homemaker  6=Student  7=Retired  9=Refused,1985,Core Question,49
Demographics,And are you: (marital status),MARITAL,1=Married  2=Divorced  3=Widowed  4=Separated  5=Never been married  6=A member of an unmarried couple  9=Refused,1985,Core Question,50
Demographics,Which of the following categories best describes your annual household income from all sources?,INCOME,"1=Less than $10,000  2=$10,000 to $15,000  3=$15,000 to $20,000  4=$20,000 to $25,000  5=$25,000 to $35,000  6=$35,000 to $50,000  8=Over $50,000  7=DK/NS  9=Refused",1985,Core Question,51
Demographics,Indicate sex of respondent. (Ask only if necessary.),SEX,1=Male  2=Female,1985,Core Question,52
Women's Health,"To your knowledge, are you now pregnant?  (NOTE: In 2003, this question was moved to the Demographics section.)",PREGNANT,1=Yes  2=No  7=DK/NS  9=Refused,1985,Core Question,53
Demographics,"How many telephone numbers will reach this household, including the number I used today?",NUMPHONS,__=Total telephone numbers,1985,Core Question,54
Demographics,"How many members of your household, including yourself, are 18 years of age or older?",NUMADULT,__ __=Number of adults,1984,Core Question,1
Injury/Residential Fire/Firearms/Seatbelt Use,How often do you use seat belts when you drive or ride in a car? Would you say:,SEATBELT,1=Always  2=Nearly always  3=Sometimes  4=Seldom  5=Never  7=DK/NS  8=Never drive or ride in a car  9=Refused,1984,Core Question,2
Hypertension (Awareness),"[Prologue: These next questions are about hypertension or high blood pressure.] Have you ever been told by a doctor, nurse, or other health professional that you have high blood pressure?",BPHIGH,"1=No  2=Yes, by a doctor  3=Yes, by a nurse  4=Yes, by other health professional  7=DK/NS  9=Refused",1984,Core Question,3
Hypertension (Awareness),"[Prologue] Have you been told on more than one occasion that your blood pressure was high, or have you been told this only once?",HIGHGT1,1=More than once  2=Only once  7=DK/NS  9=Refused,1984,Core Question,4
Hypertension (Awareness),[Prologue] Is any medicine currently prescribed for your high blood pressure?,BPTREAT,1=Yes  2-No  7-DK/NS  9=Refused,1984,Core Question,5
Hypertension (Awareness),[Prologue] Are you currently taking medicine for your high blood pressure?,USETREAT,"1=Yes, all or most of the time  2=Yes, only occasionally  3=No  7=DK/NS  9=Refused",1984,Core Question,6
Hypertension (Awareness),Are you doing any of the following to help control your high blood pressure:  Following a low salt diet?,LOWSALT,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,7
Hypertension (Awareness),Are you doing any of the following to help control your high blood pressure: Watching your weight?,WTWATCH,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,8
Hypertension (Awareness),"Are you doing any of the following to help control high blood pressure:  Avoiding stress, relaxing?",VOIDSTRS,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,9
Hypertension (Awareness),Are you doing any of the following to help control your high blood pressure: cutting down or stopping smoking?,CUTSMOKE,1=Yes  2=No  4=Do not smoke  7=DK/NS  9=refused,1984,Core Question,10
Hypertension (Awareness),Are you doing any of the following to help control your high blood presure: Following an exercise program?,EXERPROG,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,11
Hypertension (Awareness),"Are you doing any of the following to help control your high blood pressure: Other, specify:___________",OTHMETHD,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,12
Hypertension (Awareness),"[Prologue] As far as you know, is your blood pressure presently normal-or under control- or is it still high? (Note: Normal or under control includes ""returned to normal"" and ""no longer have high blood pressure"".)",BPUPNOW,1=Normal  2=Under control  3=Still high  7=DK/NS  9=Refused,1984,Core Question,13
Exercise/Physical Activity,"The next few questions are about your exercise, and other recreational or physical activities away from your job. During the past month, did you participate in any physical activities or exercises away from your job such as running, calisthenics, golf, yardwork, or walking for exercise?",EXERANY,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,14
Exercise/Physical Activity,"Were there other activities or exercises that you participated in during the last month besides running, calisthenics, golf, yardwork or walking for exercise?",EXEROTH,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,15
Exercise/Physical Activity,[Prologue] What type of physical activity or exercise did you spend the most time doing during the past month?,EXERACT1,"ACTIVITY CODES AND INTENSITY FACTORS FOR COMMON LEISURE ACTIVITIES  CODING LIST A  1.Aerobics Class  2.Back Packing  3.Badminton  4.Basketball  5.Bicycling for pleasure  6.Boating or canoeing, rowing, sailing for pleasure or camping)  7.Bowling  8.Boxing",1984,Core Question,16
Exercise/Physical Activity,How far did you usually walk/run/jog/swim (first activity)?,EXERDIS1,__ __.__=Miles & tenths  777=DK/NS  999=Refused,1984,Core Question,17
Exercise/Physical Activity,[How far did you usually walk/run/jog/swim? (first activity)]  How many times per week or per month did you take part in this activity during the past month?,EXEROFT1,1_ _=Number of times/week  2_ _=Number of times/month  777=DK/NS  999=Refused,1984,Core Question,18
Exercise/Physical Activity,"[How far did you usually walk/run/jog/swim? (first activity)]  And when you took part in this activity, for how many minutes or hours did you usually keep at it?",EXERHMM1,__:__ __=Hours & minutes  777=DK/NS  999=Refused,1984,Core Question,19
Exercise/Physical Activity,"(Were there other activities or exercises that you participated in during the last month besides running, calisthenics, golf, yardwork or walking for exercise?)  Was there another physical activity or exercise that your participated in during the last month (second activity)?",EXEROTH2,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,20
Exercise/Physical Activity,[Prologue] What type of physical activity or exercise did you spend the most time doing during the past month? What other type of physical activity gave you the next most exercise during the past month?,EXERACT2,"ACTIVITY CODES AND INTENSITY FACTORS FOR COMMON LEISURE ACTIVITIES  CODING LIST A  1.Aerobics Class  2.Back Packing  3.Badminton  4.Basketball  5.Bicycling for pleasure  6.Boating or canoeing, rowing, sailing for pleasure or camping)  7.Bowling  8.Boxing",1984,Core Question,21
Exercise/Physical Activity,How far did you usually walk/run/jog/swim (second activity)?,EXERDIS2,__ __.__=Miles & tenths  777=DK/NS  999=Refused,1984,Core Question,22
Exercise/Physical Activity,[How far did you usually walk/run/jog/swim? (second activity)]How many times per week or per month did you take part in this activity?,EXEROFT2,1_ _=Number of times/week  2_ _=Number of times/month  777=DK  999=Refused,1984,Core Question,23
Exercise/Physical Activity,"[How far did you usually walk/run/jog/swim?  (second activity)]  And when you took part in this activity, for how many minutes or hours did you usually keep at it?",EXERHMM2,__:__ __=Hours & minutes  777=DK/NS  999=Refused,1984,Core Question,24
Nutrition/Diet/Fruits and Vegetables,"Next, I'd like to ask some questions about the food you eat.  How often do you usually add salt to your food at the table?",ADDSALT,1=Most of the time  2=Sometimes  3=Rarely  7=DK/NS  9=Refused,1984,Core Question,25
Nutrition/Diet/Fruits and Vegetables,"Including breakfast, lunch and dinner, how many days per week, if any, do you eat red meat such as beef, pork, hamburger or sausage but not including chicken or fish?",REDMEAT,__ __=Days per week  88=None or never  77=DK/NS  99=Refused,1984,Core Question,26
Weight Control,Are you now on a diet to lose weight?,ONDIET,1=Yes  2=No  9=Refused,1984,Core Question,27
Weight Control,"How much weight, if any, have you lost since beginning your diet?",WTLOST,__ __ __=Number of pounds  77= DK/NS  99= Refused,1984,Core Question,28
Demographics,"What is your current weight? (Without shoes, with light indoor clothing on)",WEIGHT,_ _ _=Weight (pounds)  7 7 7=DK/NS  9 9 9=Refused,1984,Core Question,29
Demographics,What is your height without shoes?,HEIGHT,__/__ __=Height (ft/inches)  777=DK/NS  999=Refused,1984,Core Question,30
Health Status,Would you say that in general your health is:,GENHLTH,1=Excellent 2=Very good 3=Good 4=Fair 5=Poor 7=Don’t know/Not Sure 9=Refused,2019,Core Question,1
Tobacco Use/Smoking Cessation/Secondhand Smoke,"Now, I would like to ask you a few questions about smoking cigarettes.  Have you smoked at least 100 cigarettes in your life?",SMOKE100,1=Yes  2=No  8=DK/NS  9=Refused,1984,Core Question,31
Tobacco Use/Smoking Cessation/Secondhand Smoke,Do you smoke cigarettes now?,SMOKENOW,1=Yes  2=No  9=Refused,1984,Core Question,32
Tobacco Use/Smoking Cessation/Secondhand Smoke,"On the average, about how many cigarettes a day do you now smoke?",SMOKENUM,__ __=Number of cigarettes  88=Don't smoke regularly  99=Refused,1984,Core Question,33
Tobacco Use/Smoking Cessation/Secondhand Smoke,Have you stopped smoking for a week or more sometime during the past year?,SMOKQUIT,1=Yes  2=No  9=Refused,1984,Core Question,34
Alcohol Consumption,"These next few questions are about the use of beer, wine, or liquor--all kinds of alcoholic beverages that people drink at meals, special occasions, or when just relaxing.  Have you had any beer, wine or liquor during the past month, that is, since _________ ?",DRINKANY,1=Yes  2=No  9=Refused,1984,Core Question,35
Alcohol Consumption,"During the past month, how many days per week or per month did you drink any beer?",DRKBEER,1=_ _=Days per week  2=_ _=Days per month  888=Never or none   777=DK/NS  999=Refused,1984,Core Question,36
Alcohol Consumption,"On the days you drank beer, about how many beers did you drink on the average?",NBEEROCC,__ __=Number of beers  77=DK/NS  99=Refused,1984,Core Question,37
Alcohol Consumption,"Also, during the past month, how many days per week or per month did you drink any wine?",DRKWINE,1 __ __=Days per week  2 __ __=Days per month  888=Never or none  777=DK/NS  999=Refused,1984,Core Question,38
Alcohol Consumption,"On the days when you drank wine, about how many glasses of wine did you drink on the average?",NWINEOCC,__ __=Number of glasses of wine  77=DK/NS  99=Refused,1984,Core Question,39
Alcohol Consumption,"And, during the past month, about how many days per week or per month did you have any liquor to drink, such as vodka, gin, rum or whiskey?",DRKLIQR,1_ _=Days per week  2_ _=Days per month  888=Never or none  777=DK/NS  999=Refused,1984,Core Question,40
Alcohol Consumption,"On the days when you drank any liquor, about how many drinks did you have on the average?",NLIQROCC,__ __=Number of drinks  77=DK/NS  99=Refused,1984,Core Question,41
Alcohol Consumption,"Considering all types of alcoholic beverages, that is beer, wine, and liquor, as drinks, how many times during the past month did you have 5 or more drinks on an occasion?",DRINKGE5,__ __=Number of times  88=None  77=DK/NS  99=Refused,1984,Core Question,42
Alcohol Consumption,"And during the past month, how many times have you driven when you've had perhaps too much to drink?",DRINKDRI,__ __=Number of times  88=None  77=DK/NS  99=Refused,1984,Core Question,43
Demographics,"And finally, these last few questions ask for a little more information about yourself.  How old were you on your last birthday?  (If age is unknown or refused, ask the following:  What is your date of birth?)  (__ __ __=Date of Birth)",AGE,__ __=Code age in years  8=Do not remember/Not sure  9-Refused,1984,Core Question,44
Demographics,What is your race?  Would you say:,ORACE,"1=White  2=Black  3=Asian or Pacific Islander  4=Aleutian, Eskimo or American Indian  7=Do not know/Not sure  9=Refused",1984,Core Question,45
Demographics,"Are you of Hispanic origin such as Mexican American, Latin American, Puerto Rican or Cuban?",HISPANIC,1=Yes  2=No  7=DK/NS  9=Refused,1984,Core Question,46
Demographics,What is the highest grade or year of school you completed?,EDUCA,1=Eighth grade or less  2=Some high school  3=High school graduate or GED Certificate  4=Some technical school  5=Technical school graduate  6=Some college  7=College graduate  8=Postgraduate or professional degree  9=Refused,1984,Core Question,47
Demographics,Are you currently:,EMPLOY,1=Employed for wages  2=Self-employed  3=Out of work for more than 1 year  4=Out of work for less than 1 year  5=Homemaker  6=Student  7=Retired  9=Refused,1984,Core Question,48
Demographics,And are you: (marital status),MARITAL,1=Married  2=Divorced  3=Widowed  4=Separated  5=Never been married  6=A member of an unmarried couple  9=Refused,1984,Core Question,49
Demographics,Which of the following categories best describes your annual household income from all sources?,INCOME,"1=Less than $10,000  2=$10,000 to $15,000  3=$15,000 to $20,000  4=$20,000 to $25,000  5=$25,000 to $35,000  6=Over $35,000  7=DK/NS  9=Refused",1984,Core Question,50
Demographics,Indicate sex of respondent. (Ask only if necessary.),SEX,1=Male  2=Female,1984,Core Question,51
Demographics,"How many telephone numbers will reach this household, including the number I used today?",NUMPHONS,__=Total telephone numbers,1984,Core Question,52
Anxiety and Depression,"Over the last 2 weeks, how many days have you had little interest or pleasure in doing things?",ADPLEASR,1-14=01-14 days 77=Don’t know/Not sure 88=None 99=Refused,2015,Module Question,199
Marijuana Use,"During the past 30 days, how did you use marijuana?",USEMRJNA,"1=Smoke it? (for example: in a joint, bong, pipe, or blunt) 2=Eat it? (for example, in brownies, cakes, cookies, or candy) 3=Drink it? (for example, in tea, cola, alcohol) 4=Vaporize it? (for example in an e-cigarette-like vaporizer) 5=Dab it? (for example using butane hash oil, wax or concentrates) 6=Was it used in some other way? 12-654321=Multiple responses 7=Don’t know/Not Sure 9=Refused",2016,Module Question,140
Random Child Selection,How are you related to the child?,RCSRLTN2,"1=Parent (include biologic, step, or adoptive parent) 2=Grandparent 3=Foster parent or guardian 4=Sibling (include biologic, step, and adoptive sibling) 5=Other relative 6=Not related in any way 7=Don’t know/Not sure 9=Refused",2016,Module Question,186
Exercise (Physical Activity),"During the past month, how many times per week or per month did you do physical activities or exercises to STRENGTHEN your muscles?",STRENGTH,101-199=Times per week 201-299=Times per month 888=Never 777=Don’t know / Not sure 999=Refused,2015,Core Question,77
Health Status,Would you say that in general your health is:,GENHLTH,1=Excellent 2=Very good 3=Good 4=Fair 5=Poor 7=Don’t know/Not Sure 9=Refused,2021,Core Question,1
Fruits & Vegetables,"During the past month, not counting juice, how many times per day, week, or month did you eat fruit?",FRUIT1,101-199=Times per day 201-299=Times per week 301-399=Times per month 300=Less than one time per month 555=Never 777=Don’t know/Not sure 999=Refused,2015,Core Question,65
Cognitive Decline,"During the past 12 months, as a result of confusion or memory loss, how often have you given up day-to-day household activities or chores you used to do, such as cooking, cleaning, taking medications, driving, or paying bills?",CDHOUSE,1=Always 2=Usually 3=Sometimes 4=Rarely 5=Never 7=Don’t know/Not sure 9=Refused,2015,Module Question,124
Sleep Disorder,"Over the last 2 weeks, how many days did you unintentionally fall asleep during the day?",SLEPDAY1,1-14=Number of days [1-14] 88=None 77=Don’t know/Not Sure 99=Refused,2016,Module Question,142
Prostate Cancer Screening,What was the MAIN reason you had this PSA test – was it …?,PCPSARS1,1=Part of a routine exam 2=Because of a prostate problem 3=Because of a family history of prostate cancer 4=Because you were told you had prostate cancer 5=Some other reason 7=Don’t know/Not Sure 9=Refused,2015,Module Question,176
Demographics,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor’s office or shopping?",DIFFALON,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2015,Core Question,54
Chronic Health Conditions,"(Ever told) you that you have a depressive disorder, including depression, major depression, dysthymia, or minor depression?",ADDEPEV2,1=Yes 2=No 7=Don’t know/Not sure 9=Refused,2015,Core Question,23
Chronic Health Conditions,(Ever told) you had angina or coronary heart disease?,CVDCRHD4,1=Yes 2=No 7=Don’t know/Not sure 9=Refused,2016,Core Question,12
Prostate Cancer Screening,"Has a doctor, nurse, or other health professional EVER talked with you about the disadvantages of the PSA test?",PCPSADI1,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2016,Core Question,80
Demographics,"Are you Hispanic, Latino/a, or Spanish origin?",HISPANC3,"1=Mexican, Mexican American, Chicano/a 2=Puerto Rican 3=Cuban 4=Another Hispanic, Latino/a, or Spanish origin 5=No 7=Don’t know/Not Sure 12-4321=Multiple responses 9=Refused HIDDEN=Data not displayed",2015,Core Question,29
Cholesterol Awareness,About how long has it been since you last had your blood cholesterol checked?,CHOLCHK,1=Within the past year (anytime less than 12 months ago) 2=Within the past 2 years (1 year but less than 2 years ago) 3=Within the past 5 years (2 years but less than 5 years ago) 4=5 or more years ago 7=Don’t know/Not Sure 9=Refused,2015,Core Question,12
Caregiver,"In an average week, how many hours do you provide care or assistance? Would you say…",CRGVHRS1,1=Up to 8 hours per week 2=9 to 19 hours per week 3=20 to 39 hours per week 4=40 hours or more 7=Don’t know/Not sure 9=Refused,2016,Module Question,124
Adult Asthma History,"During the past 12 months, how many times did you visit an emergency room or urgent care center because of your asthma?",ASERVIST,1-87=Number of visits [87 = 87 or more] 88=None 98=Don’t know/Not sure 99=Refused,2015,Module Question,134
Prostate Cancer Screening,"Has a doctor, nurse, or other health professional EVER talked with you about the advantages of the PSA test?",PCPSAAD2,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2015,Module Question,171
Childhood Asthma Prevalence,"Has a doctor, nurse or other health professional EVER said that the child has asthma?",CASTHDX2,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2015,Module Question,195
Adult Asthma History,"During the past 30 days, how many days did you take a prescription asthma medication to PREVENT an asthma attack from occurring?",ASTHMED3,8=Never 1=1 to 14 days 2=15 to 24 days 3=25 to 30 days 7=Don’t know/Not sure 9=Refused,2016,Module Question,153
Immunization,"During the past 12 months, have you had either a flu shot or a flu vaccine that was sprayed in your nose?",FLUSHOT6,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2016,Core Question,64
Demographics,Have you used the internet in the past 30 days?,INTERNET,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2015,Core Question,44
Chronic Health Conditions,(Ever told) you had asthma?,ASTHMA3,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2015,Core Question,17
Healthy Days (Symptoms),"During the past 30 days, for about how many days have you felt worried, tense, or anxious?",QLSTRES2,1-30=Number of days 88=None 77=Don’t know/Not sure 99=Refused,2015,Module Question,103
Alcohol Consumption,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?",ALCDAY5,101-107=Days per week 201-230=Days in past 30 days 888=No drinks in past 30 days 777=Don’t know/Not sure 999=Refused,2016,Core Question,60
Caregiving,"Of the following support services, which one do you MOST need, that you are not currently getting?",CRGVMST2,"1=Classes about giving care, such as giving medications 2=Help in getting access to services 3=Support groups 4=Individual counseling to help cope with giving care 5=Respite care 6=You don’t need any of these support services 7=Don’t know/Not Sure 9=Refused",2017,Module Question,200
Random Child Selection,Which one or more of the following would you say is the race of the child?,RCSRACE1,10=White 20=Black or African American 30=American Indian or Alaska Native 40=Asian 41=Asian Indian 42=Chinese 43=Filipino 44=Japanese 45=Korean 46=Vietnamese 47=Other Asian 50=Pacific Islander 51=Native Hawaiian 52=Guamanian or Chamorro 53=Samoan 54=Other Pacific Islander 60=Other 1020-605453525150474645444342414088=Multiple responses 88=No additional choices 77=Don’t know/Not Sure 99=Refused HIDDEN=Data Not Displayed,2018,Module Question,182
Health Care Access,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicare, or Indian Health Service?",HLTHPLN1,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2017,Core Question,5
Cancer Survivorship,At what age were you told that you had cancer?,CNCRAGE,1-97=Age in years (97=97 or older) 98=Don’t know/Not Sure 99=Refused,2018,Module Question,154
Exercise (Physical Activity),What other type of physical activity gave you the next most exercise during the past month?,EXRACT21,"1=Active Gaming Devices (Wii Fit, Dance, Dance revolution) 2=Aerobics video or class 3=Backpacking 4=Badminton 5=Basketball 6=Bicycling machine exercise 7=Bicycling 8=Boating (Canoeing, rowing, kayaking, sailing for pleasure or camping) 9=Bowling 10=Boxing 11=Calisthenics 12=Canoeing/rowing in competition 13=Carpentry 14=Dancing-ballet, ballroom, Latin, hip hop, etc 15=Elliptical/EFX machine exercise 16=Fishing from river bank or boat 17=Frisbee 18=Gardening (spading, weeding, digging, filling) 19=Golf (with motorized cart) 20=Golf (without motorized cart) 21=Handball 22=Hiking – cross-country 23=Hockey 24=Horseback riding 25=Hunting large game – deer, elk 26=Hunting small game – quail 27=Inline Skating 28=Jogging 29=Lacrosse 30=Mountain climbing 31=Mowing lawn 32=Paddleball 33=Painting/papering house 34=Pilates 35=Racquetball 36=Raking lawn 37=Running 38=Rock Climbing 39=Rope skipping 40=Rowing machine exercise 41=Rugby 42=Scuba diving 43=Skateboarding 44=Skating – ice or roller 45=Sledding, tobogganing 46=Snorkeling 47=Snow blowing 48=Snow shoveling by hand 49=Snow skiing 50=Snowshoeing 51=Soccer 52=Softball/Baseball 53=Squash 54=Stair climbing/Stair master 55=Stream fishing in waders 56=Surfing 57=Swimming 58=Swimming in laps 59=Table tennis 60=Tai Chi 61=Tennis 62=Touch football 63=Volleyball 64=Walking 66=Waterskiing 67=Weight lifting 68=Wrestling 69=Yoga 71=Childcare 72=Farm/Ranch Work (caring for livestock, stacking hay, etc.) 73=Household Activities (vacuuming, dusting, home repair, etc.) 74=Karate/Martial Arts 75=Upper Body Cycle (wheelchair sports, ergometer,  etc.) 76=Yard work (cutting/gathering wood, trimming hedges, etc.) 98=Other______ 77=Don’t know/Not Sure 88=No other activity 99=Refused HIDDEN=Data not displayed",2015,Core Question,74
Demographics,"To your knowledge, are you now pregnant?",PREGNANT,1=Yes 2=No 7=Don’t know/Not Sure 9=Refused,2015,Core Question,47
